YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS 
2000 01 09 01 216  8.5 10.0  0.45  2.70  2.90 999 1021.9   2.0   5.6  -4.7 99.0
2000 01 09 02 211  7.3  8.9  0.51  2.70  2.94 999 1021.1   1.7   5.5  -5.7 99.0
2000 01 09 03 225  8.4 10.7  0.52  3.03  3.04 999 1020.4   1.7   5.5  -6.7 99.0
2000 01 09 04 224  9.4 11.4  0.53  3.13  3.11 999 1020.0   1.6   5.6  -5.8 99.0
2000 01 09 05 218  8.5 10.5  0.67  3.33  3.16 999 1019.1   1.7   5.6  -4.6 99.0
2000 01 09 06 218  9.5 11.1  0.60  3.13  3.11 999 1018.1   1.7   5.5  -5.0 99.0
2000 01 09 07 223  9.8 11.3  0.68  3.03  3.14 999 1018.0   2.5   5.5  -5.0 99.0
2000 01 09 08 218 11.6 14.2  0.89  3.57  3.36 999 1017.7   2.4   5.5  -3.8 99.0
2000 01 09 09 215 11.0 13.3  1.00  3.57  3.46 999 1017.3   2.8   5.5  -3.2 99.0
2000 01 09 10 218 10.4 12.6  0.90  3.85  3.38 999 1017.3   3.1   5.5  -2.9 99.0
2000 01 09 11 224  9.5 11.1  0.77  3.57  3.34 999 1017.8   3.1   5.5  -3.3 99.0
2000 01 09 12 224  9.1 11.0  0.61  2.94  3.18 999 1017.6   3.2   5.5  -3.2 99.0
2000 01 09 13 222  8.2 10.4  0.58  2.94  3.07 999 1017.7   3.2   5.5  -2.8 99.0
2000 01 09 14 220  9.4 11.1  0.62  3.23  3.16 999 1017.2   3.6   5.5  -2.2 99.0
2000 01 09 15 228  8.8 10.5  0.61  3.33  3.20 999 1017.3   4.0   5.5  -2.1 99.0
2000 01 09 16 229  6.8  8.0  0.56  3.13  3.17 999 1016.3   5.1   5.5  -2.7 99.0
2000 01 09 17 250  5.2  5.9  0.40  2.70  3.26 999 1015.8   5.6   5.5  -1.7 99.0
2000 01 09 18 262  4.9  5.5  0.33  3.33  3.42 999 1015.6   5.9   5.6  -1.2 99.0
2000 01 09 19 258  3.0  3.4  0.27 16.67  4.02 999 1015.0   6.3   5.6  -1.2 99.0
2000 01 09 20 286  3.0  3.6  0.25 10.00  4.22 999 1015.0   7.0   5.6  -0.7 99.0
2000 01 09 21 310  2.3  2.7  0.24 14.29  4.61 999 1015.6   6.7   5.6   0.5 99.0
2000 01 09 22 312  0.4  0.8  0.22 10.00  4.99 999 1016.3   6.3   5.6   2.3 99.0
