YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 06 19 335 10.2 12.1  1.69  8.33  5.04 999  996.3   0.5   5.1  -0.9 99.0 99.00
2001 01 06 20 322  9.5 11.8  1.72  8.33  5.10 999  997.5   1.3   5.1  -0.3 99.0 99.00
2001 01 06 21 312 10.0 11.6  1.66  7.69  4.86 999  998.5   1.4   5.1  -0.3 99.0 99.00
2001 01 06 22 309 10.0 11.9  1.64  7.69  4.83 999  999.2   0.9   5.1  -0.5 99.0 99.00
2001 01 06 23 317  9.7 11.4  1.55  6.67  4.58 999  999.8   1.3   5.1  -0.5 99.0 99.00
2001 01 07 00 310 10.1 11.7  1.57  7.69  4.66 999 1000.5   1.6   5.1  -0.7 99.0 99.00
2001 01 07 01 306  8.8 10.7  1.50  5.56  4.63 999 1001.0   1.9   5.1  -1.6 99.0 99.00
2001 01 07 02 303  8.7 10.4  1.53  5.88  4.84 999 1001.4   1.9   5.1  -1.9 99.0 99.00
2001 01 07 03 303  9.0 10.6  1.59  6.67  4.87 999 1002.1   1.7   5.1  -2.9 99.0 99.00
2001 01 07 04 303  9.1 11.2  1.65  7.14  5.03 999 1002.3   1.7   5.1  -3.0 99.0 99.00
2001 01 07 05 294  8.2 10.6  1.93  7.14  5.55 999 1002.5   1.3   5.1  -3.3 99.0 99.00
2001 01 07 06 287  8.9 10.7  1.83  7.69  5.46 999 1002.9   0.9   5.1  -3.3 99.0 99.00
2001 01 07 07 292  8.8 11.1  2.00  7.69  5.85 999 1003.8   0.9   4.8  -3.3 99.0 99.00
2001 01 07 08 284  8.8 10.8  1.94  7.69  5.87 999 1004.2   0.4   4.9  -3.0 99.0 99.00
2001 01 07 09 279  8.7 11.1  2.15  9.09  6.26 999 1004.8   0.1   4.8  -3.5 99.0 99.00
2001 01 07 10 269  8.2 10.5  2.04  8.33  6.16 999 1005.4  -0.2   4.9  -4.0 99.0 99.00
